model,pdb_id,temperature,sample,score_nll,global_score_nll,seq_recovery,perplexity
fullbackbone,1BPI,0.1,8,0.8522,0.8522,0.5172,2.3447997410999877
fullbackbone,1BPI,0.2,1,0.9469,0.9469,0.4483,2.577706370878344
fullbackbone,1BPI,0.2,2,0.937,0.937,0.5172,2.5523129824793847
fullbackbone,1BPI,0.2,3,0.8761,0.8761,0.5172,2.4015155086423112
fullbackbone,1BPI,0.2,4,0.8893,0.8893,0.5172,2.4334256570015524
fullbackbone,1BPI,0.2,5,0.8736,0.8736,0.4483,2.3955192183566303
fullbackbone,1BPI,0.2,6,0.8919,0.8919,0.4655,2.4397607958214276
fullbackbone,1BPI,0.2,7,0.9192,0.9192,0.4655,2.5072837603831903
fullbackbone,1BPI,0.2,8,0.9309,0.9309,0.4828,2.5367912626619398
fullbackbone,1BPI,0.3,1,0.9973,0.9973,0.5,2.7109523667481628
fullbackbone,1BPI,0.3,2,0.8997,0.8997,0.4655,2.4588653408946755
fullbackbone,1BPI,0.3,3,0.9795,0.9795,0.5,2.66312434680998
fullbackbone,1BPI,0.3,4,0.9087,0.9087,0.5172,2.4810950124345763
fullbackbone,1BPI,0.3,5,0.9108,0.9108,0.5172,2.486310786606773
fullbackbone,1BPI,0.3,6,0.9187,0.9187,0.4828,2.50603043186124
fullbackbone,1BPI,0.3,7,0.9424,0.9424,0.5,2.5661327523814843
fullbackbone,1BPI,0.3,8,0.8999,0.8999,0.5517,2.45935716314344
fullbackbone,1CRN,0.1,1,0.8156,0.8156,0.587,2.260531584486075
fullbackbone,1CRN,0.1,2,0.7882,0.7882,0.5435,2.1994338800501487
fullbackbone,1CRN,0.1,3,0.7848,0.7848,0.5652,2.191968503190285
fullbackbone,1CRN,0.1,4,0.7902,0.7902,0.5217,2.2038371496120543
fullbackbone,1CRN,0.1,5,0.7705,0.7705,0.5217,2.1608464069275897
fullbackbone,1CRN,0.1,6,0.8233,0.8233,0.5217,2.2780048634782637
fullbackbone,1CRN,0.1,7,0.8038,0.8038,0.5652,2.2340140727989066
fullbackbone,1CRN,0.1,8,0.8086,0.8086,0.5217,2.2447631174172678
fullbackbone,1CRN,0.2,1,0.827,0.827,0.5652,2.2864490936655226
fullbackbone,1CRN,0.2,2,0.8152,0.8152,0.4783,2.2596275526706973
fullbackbone,1CRN,0.2,3,0.9069,0.9069,0.5435,2.476633058375575
fullbackbone,1CRN,0.2,4,0.8461,0.8461,0.5217,2.330539999109405
fullbackbone,1CRN,0.2,5,0.8525,0.8525,0.5217,2.3455032865488583
fullbackbone,1CRN,0.2,6,0.8596,0.8596,0.5435,2.3622156184559637
fullbackbone,1CRN,0.2,7,0.7676,0.7676,0.5652,2.1545890299295247
fullbackbone,1CRN,0.2,8,0.911,0.911,0.4783,2.4868080984936256
fullbackbone,1CRN,0.3,1,0.8726,0.8726,0.5217,2.3931248964987297
fullbackbone,1CRN,0.3,2,0.8234,0.8234,0.5217,2.2782326753550155
fullbackbone,1CRN,0.3,3,0.9694,0.9694,0.5,2.636362167413591
fullbackbone,1CRN,0.3,4,0.9162,0.9162,0.5435,2.4997731806046426
fullbackbone,1CRN,0.3,5,0.8697,0.8697,0.587,2.3861948876684678
fullbackbone,1CRN,0.3,6,0.926,0.926,0.5,2.524391389973053
fullbackbone,1CRN,0.3,7,0.9417,0.9417,0.5,2.56433708801067
fullbackbone,1CRN,0.3,8,0.8953,0.8953,0.4783,2.4480701003402743
fullbackbone,1CSP,0.1,1,0.8842,0.8842,0.4179,2.4210467791206467
fullbackbone,1CSP,0.1,2,0.9228,0.9228,0.5373,2.516326248633535
fullbackbone,1CSP,0.1,3,0.9292,0.9292,0.4925,2.5324823811024624
fullbackbone,1CSP,0.1,4,0.8951,0.8951,0.5075,2.447580535278344
fullbackbone,1CSP,0.1,5,0.8998,0.8998,0.5224,2.459111239723501
fullbackbone,1CSP,0.1,6,0.8753,0.8753,0.5373,2.3995950645154718
fullbackbone,1CSP,0.1,7,0.9365,0.9365,0.5522,2.551037144974101
fullbackbone,1CSP,0.1,8,0.8304,0.8304,0.4776,2.2942362512502523
fullbackbone,1CSP,0.2,1,0.9534,0.9534,0.5821,2.59451603451188
fullbackbone,1CSP,0.2,2,0.9107,0.9107,0.5672,2.486062167959252
fullbackbone,1CSP,0.2,3,0.9591,0.9591,0.5224,2.609347004016859
fullbackbone,1CSP,0.2,4,0.9362,0.9362,0.5373,2.550271948615802
fullbackbone,1CSP,0.2,5,0.9459,0.9459,0.5224,2.575129952931141
fullbackbone,1CSP,0.2,6,1.008,1.008,0.4925,2.7401153005299412
fullbackbone,1CSP,0.2,7,0.869,0.869,0.403,2.38452513572846
fullbackbone,1CSP,0.2,8,0.9507,0.9507,0.4925,2.587520289724076
fullbackbone,1CSP,0.3,1,1.0589,1.0589,0.4328,2.8831977267940947
fullbackbone,1CSP,0.3,2,0.9295,0.9295,0.4776,2.5332422397898973
fullbackbone,1CSP,0.3,3,0.9669,0.9669,0.4925,2.6297794937655925
fullbackbone,1CSP,0.3,4,1.0003,1.0003,0.5522,2.719097435342498
fullbackbone,1CSP,0.3,5,0.9892,0.9892,0.4478,2.689082345736808
fullbackbone,1CSP,0.3,6,1.0782,1.0782,0.5075,2.939383895393538
fullbackbone,1CSP,0.3,7,0.9814,0.9814,0.4776,2.668189093054207
fullbackbone,1CSP,0.3,8,1.0576,1.0576,0.4925,2.879452004995954
fullbackbone,1ENH,0.1,1,0.9261,0.9261,0.4074,2.5246438417344277
fullbackbone,1ENH,0.1,2,1.06,1.06,0.4074,2.8863709892679585
fullbackbone,1ENH,0.1,3,1.0055,1.0055,0.463,2.733273568007671
fullbackbone,1ENH,0.1,4,0.9948,0.9948,0.3704,2.704183450502077
fullbackbone,1ENH,0.1,5,1.0706,1.0706,0.3704,2.917129252550262
fullbackbone,1ENH,0.1,6,0.9561,0.9561,0.4259,2.601530693333066
fullbackbone,1ENH,0.1,7,1.056,1.056,0.3704,2.874848565521607
fullbackbone,1ENH,0.1,8,1.0449,1.0449,0.3889,2.8431141980159227
fullbackbone,1ENH,0.2,1,0.9966,0.9966,0.4259,2.7090553641198203
fullbackbone,1ENH,0.2,2,1.0655,1.0655,0.4259,2.902289766216978
fullbackbone,1ENH,0.2,3,1.1881,1.1881,0.4074,3.280841682514772
fullbackbone,1ENH,0.2,4,1.1427,1.1427,0.3704,3.1352220471071406
fullbackbone,1ENH,0.2,5,1.0284,1.0284,0.3889,2.7965877128163994
fullbackbone,1ENH,0.2,6,1.106,1.106,0.3704,3.02224520339094
fullbackbone,1ENH,0.2,7,1.0695,1.0695,0.4259,2.913922174588716
fullbackbone,1ENH,0.2,8,1.1074,1.1074,0.3889,3.0264793098586433
fullbackbone,1ENH,0.3,1,1.2539,1.2539,0.3889,3.5039818735950807
fullbackbone,1ENH,0.3,2,1.2019,1.2019,0.3333,3.326431141498043
fullbackbone,1ENH,0.3,3,1.1474,1.1474,0.4444,3.1499922735712196
fullbackbone,1ENH,0.3,4,1.1134,1.1134,0.3519,3.044692771462254
fullbackbone,1ENH,0.3,5,1.1471,1.1471,0.4074,3.1490474176246264
fullbackbone,1ENH,0.3,6,1.2015,1.2015,0.3519,3.3251008351204567
fullbackbone,1ENH,0.3,7,1.1134,1.1134,0.4259,3.044692771462254
fullbackbone,1ENH,0.3,8,1.055,1.055,0.4074,2.871975153901346
fullbackbone,1FKB,0.1,1,0.7232,0.7232,0.6355,2.061017926844913
fullbackbone,1FKB,0.1,2,0.757,0.757,0.6449,2.1318710044632896
fullbackbone,1FKB,0.1,3,0.7162,0.7162,0.6262,2.0466411786805807
fullbackbone,1FKB,0.1,4,0.7181,0.7181,0.6355,2.050533493448165
fullbackbone,1FKB,0.1,5,0.7471,0.7471,0.6542,2.1108696099505506
fullbackbone,1FKB,0.1,6,0.7131,0.7131,0.6355,2.0403064149834904
fullbackbone,1FKB,0.1,7,0.731,0.731,0.6729,2.0771567261680337
fullbackbone,1FKB,0.1,8,0.7452,0.7452,0.6636,2.106862765399361
fullbackbone,1FKB,0.2,1,0.784,0.784,0.6449,2.190215629630643
fullbackbone,1FKB,0.2,2,0.7738,0.7738,0.6542,2.167988978832211
fullbackbone,1FKB,0.2,3,0.7931,0.7931,0.6168,2.210237553445873
fullbackbone,1FKB,0.2,4,0.7872,0.7872,0.6822,2.1972355455205577
fullbackbone,1FKB,0.2,5,0.786,0.786,0.6355,2.194600444242912
fullbackbone,1FKB,0.2,6,0.7776,0.7776,0.5607,2.176243009678032
fullbackbone,1FKB,0.2,7,0.7659,0.7659,0.6262,2.1509293401962934
fullbackbone,1FKB,0.2,8,0.7547,0.7547,0.6729,2.1269733356312366
fullbackbone,1FKB,0.3,1,0.8014,0.8014,0.5981,2.2286588678406374
fullbackbone,1FKB,0.3,2,0.8196,0.8196,0.5888,2.2695918192131637
fullbackbone,1FKB,0.3,3,0.7757,0.7757,0.6449,2.172112073591649
fullbackbone,1FKB,0.3,4,0.8581,0.8581,0.6262,2.358674951192602
fullbackbone,1FKB,0.3,5,0.7822,0.7822,0.6449,2.186276787518696
fullbackbone,1FKB,0.3,6,0.7967,0.7967,0.6636,2.2182087481799106
fullbackbone,1FKB,0.3,7,0.8274,0.8274,0.6075,2.2873638562433074
fullbackbone,1FKB,0.3,8,0.823,0.823,0.6075,2.2773215645191884
fullbackbone,1HEL,0.1,1,0.743,0.743,0.5271,2.1022327621864507
fullbackbone,1HEL,0.1,2,0.7518,0.7518,0.5659,2.1208140482412547
fullbackbone,1HEL,0.1,3,0.7589,0.7589,0.5581,2.135925409837175
fullbackbone,1HEL,0.1,4,0.7234,0.7234,0.5581,2.061430171653389
fullbackbone,1HEL,0.1,5,0.7365,0.7365,0.5736,2.088612562834551
fullbackbone,1HEL,0.1,6,0.74,0.74,0.5581,2.0959355144943643
fullbackbone,1HEL,0.1,7,0.7253,0.7253,0.5659,2.065350612218668
fullbackbone,1HEL,0.1,8,0.7811,0.7811,0.5426,2.183873205265026
fullbackbone,1HEL,0.2,1,0.7532,0.7532,0.5349,2.1237852672768183
fullbackbone,1HEL,0.2,2,0.7889,0.7889,0.6124,2.2009740227532406
fullbackbone,1HEL,0.2,3,0.7803,0.7803,0.5659,2.18212680535392
fullbackbone,1HEL,0.2,4,0.7687,0.7687,0.5659,2.156960381866902
fullbackbone,1HEL,0.2,5,0.7929,0.7929,0.5504,2.2097955501369877
fullbackbone,1HEL,0.2,6,0.7682,0.7682,0.6124,2.155882171251085
fullbackbone,1HEL,0.2,7,0.7813,0.7813,0.6047,2.1843100235864554
fullbackbone,1HEL,0.2,8,0.7825,0.7825,0.5736,2.186932768947246
fullbackbone,1HEL,0.3,1,0.7935,0.7935,0.4961,2.2111218253098333
fullbackbone,1HEL,0.3,2,0.773,0.773,0.5581,2.1662552812206535
fullbackbone,1HEL,0.3,3,0.7956,0.7956,0.5504,2.215770060081268
fullbackbone,1HEL,0.3,4,0.7948,0.7948,0.6124,2.2139981528905808
fullbackbone,1HEL,0.3,5,0.7795,0.7795,0.5814,2.1803818020040433
fullbackbone,1HEL,0.3,6,0.757,0.757,0.5891,2.1318710044632896
fullbackbone,1HEL,0.3,7,0.8398,0.8398,0.5271,2.3159037497099866
fullbackbone,1HEL,0.3,8,0.8285,0.8285,0.5736,2.2898813408478613
fullbackbone,1IGD,0.1,1,0.7714,0.7714,0.6066,2.1627920440992217
fullbackbone,1IGD,0.1,2,0.7881,0.7881,0.5246,2.1992139476589463
fullbackbone,1IGD,0.1,3,0.8321,0.8321,0.5574,2.2981397699281563
fullbackbone,1IGD,0.1,4,0.8073,0.8073,0.541,2.241846821367769
fullbackbone,1IGD,0.1,5,0.8184,0.8184,0.541,2.266869942482771
fullbackbone,1IGD,0.1,6,0.8239,0.8239,0.541,2.2793720765192464
fullbackbone,1IGD,0.1,7,0.7223,0.7223,0.5574,2.0591638451726557
fullbackbone,1IGD,0.1,8,0.8624,0.8624,0.541,2.3688390907214774
fullbackbone,1IGD,0.2,1,0.8452,0.8452,0.541,2.328443456695809
fullbackbone,1IGD,0.2,2,0.932,0.932,0.5574,2.5395832683724815
fullbackbone,1IGD,0.2,3,0.9072,0.9072,0.5574,2.477376159752721
fullbackbone,1IGD,0.2,4,0.8538,0.8538,0.541,2.3485544236307736
fullbackbone,1IGD,0.2,5,0.882,0.882,0.6066,2.415726330845598
fullbackbone,1IGD,0.2,6,0.8268,0.8268,0.5738,2.285991849572723
fullbackbone,1IGD,0.2,7,0.8415,0.8415,0.5574,2.3198441344625573
fullbackbone,1IGD,0.2,8,0.8647,0.8647,0.541,2.374293691015906
fullbackbone,1IGD,0.3,1,0.9551,0.9551,0.4918,2.5989304629715995
fullbackbone,1IGD,0.3,2,0.7985,0.7985,0.5246,2.222205119581876
fullbackbone,1IGD,0.3,3,0.8553,0.8553,0.5738,2.3520798987115032
fullbackbone,1IGD,0.3,4,0.9533,0.9533,0.5738,2.594256595880577
fullbackbone,1IGD,0.3,5,0.9497,0.9497,0.5082,2.5849340627633515
fullbackbone,1IGD,0.3,6,0.8935,0.8935,0.459,2.4436675376547705
fullbackbone,1IGD,0.3,7,0.9366,0.9366,0.5082,2.5512922614442095
fullbackbone,1IGD,0.3,8,0.9081,0.9081,0.541,2.4796068019349122
fullbackbone,1LZ1,0.1,1,0.7567,0.7567,0.5308,2.1312315390865533
fullbackbone,1LZ1,0.1,2,0.779,0.779,0.5615,2.179291883605348
fullbackbone,1LZ1,0.1,3,0.7722,0.7722,0.5231,2.16452297001255
fullbackbone,1LZ1,0.1,4,0.7331,0.7331,0.5462,2.081523338631343
fullbackbone,1LZ1,0.1,5,0.7732,0.7732,0.5615,2.166688575604892
fullbackbone,1LZ1,0.1,6,0.7557,0.7557,0.5538,2.12910137280812
fullbackbone,1LZ1,0.1,7,0.7624,0.7624,0.5846,2.1434142465910715
fullbackbone,1LZ1,0.1,8,0.7532,0.7532,0.5308,2.1237852672768183
fullbackbone,1LZ1,0.2,1,0.7398,0.7398,0.5615,2.0955163693073815
fullbackbone,1LZ1,0.2,2,0.7555,0.7555,0.5769,2.128675595112747
fullbackbone,1LZ1,0.2,3,0.7371,0.7371,0.5615,2.089866106397714
fullbackbone,1LZ1,0.2,4,0.7697,0.7697,0.5615,2.159118421088543
fullbackbone,1LZ1,0.2,5,0.8048,0.8048,0.5692,2.2362492042511706
fullbackbone,1LZ1,0.2,6,0.7488,0.7488,0.5538,2.1144611402232383
fullbackbone,1LZ1,0.2,7,0.7648,0.7648,0.6154,2.1485646187573115
fullbackbone,1LZ1,0.2,8,0.7775,0.7775,0.5615,2.176025396257917
fullbackbone,1LZ1,0.3,1,0.8504,0.8504,0.5615,2.3405828978634684
fullbackbone,1LZ1,0.3,2,0.7904,0.7904,0.5385,2.2042779611216585
fullbackbone,1LZ1,0.3,3,0.817,0.817,0.5385,2.263698545059486
fullbackbone,1LZ1,0.3,4,0.7822,0.7822,0.5231,2.186276787518696
fullbackbone,1LZ1,0.3,5,0.8019,0.8019,0.5385,2.229773475903352
fullbackbone,1LZ1,0.3,6,0.7753,0.7753,0.5769,2.1712434025080114
fullbackbone,1LZ1,0.3,7,0.8265,0.8265,0.4923,2.285306154877198
fullbackbone,1LZ1,0.3,8,0.8128,0.8128,0.5769,2.2542109490685793
fullbackbone,1MBN,0.1,1,1.0128,1.0128,0.3922,2.753299470667217
fullbackbone,1MBN,0.1,2,0.9803,0.9803,0.3987,2.6652556987145175
fullbackbone,1MBN,0.1,3,0.989,0.989,0.3922,2.688544583045722
fullbackbone,1MBN,0.1,4,0.9658,0.9658,0.4314,2.626888326755832
fullbackbone,1MBN,0.1,5,0.9934,0.9934,0.3399,2.700400242534875
fullbackbone,1MBN,0.1,6,0.9806,0.9806,0.3922,2.6660553953726334
fullbackbone,1MBN,0.1,7,0.9705,0.9705,0.3922,2.639263761381851
fullbackbone,1MBN,0.1,8,0.98,0.98,0.4314,2.664456241929417
fullbackbone,1MBN,0.2,1,1.0413,1.0413,0.3595,2.832897388194895
fullbackbone,1MBN,0.2,2,1.0909,1.0909,0.3595,2.976952124170827
fullbackbone,1MBN,0.2,3,1.0751,1.0751,0.3987,2.9302859144742075
fullbackbone,1MBN,0.2,4,1.0219,1.0219,0.3856,2.7784688428041093
fullbackbone,1MBN,0.2,5,1.0673,1.0673,0.3856,2.9075185923278855
fullbackbone,1MBN,0.2,6,0.9819,0.9819,0.3856,2.669523521179965
fullbackbone,1MBN,0.2,7,1.0241,1.0241,0.3791,2.784588203086447
fullbackbone,1MBN,0.2,8,0.9823,0.9823,0.3987,2.6705915441787957
fullbackbone,1MBN,0.3,1,1.147,1.147,0.366,3.1487325286275762
fullbackbone,1MBN,0.3,2,1.1476,1.1476,0.3725,3.150622335029979
fullbackbone,1MBN,0.3,3,1.0996,1.0996,0.3203,3.002964597838095
fullbackbone,1MBN,0.3,4,1.0813,1.0813,0.366,2.9485101238147235
fullbackbone,1MBN,0.3,5,1.1104,1.1104,0.3856,3.035572380574491
fullbackbone,1MBN,0.3,6,1.0692,1.0692,0.3464,2.9130481290497254
fullbackbone,1MBN,0.3,7,1.1453,1.1453,0.3464,3.1433842306702213
fullbackbone,1MBN,0.3,8,1.0758,1.0758,0.3725,2.932337832701933
fullbackbone,1PIN,0.1,1,0.8621,0.8621,0.4706,2.368128545581361
fullbackbone,1PIN,0.1,2,0.8547,0.8547,0.4902,2.3506690740619964
fullbackbone,1PIN,0.1,3,0.8393,0.8393,0.4706,2.3147460872748584
fullbackbone,1PIN,0.1,4,0.8364,0.8364,0.4641,2.308043047726819
fullbackbone,1PIN,0.1,5,0.8612,0.8612,0.4641,2.3659981886947357
fullbackbone,1PIN,0.1,6,0.8633,0.8633,0.5098,2.370972005570837
fullbackbone,1PIN,0.1,7,0.8638,0.8638,0.4967,2.372157787994525
fullbackbone,1PIN,0.1,8,0.8534,0.8534,0.4706,2.3476151897206265
fullbackbone,1PIN,0.2,1,0.8607,0.8607,0.4771,2.3648154853008765
fullbackbone,1PIN,0.2,2,0.8959,0.8959,0.5098,2.44953938314124
fullbackbone,1PIN,0.2,3,0.893,0.893,0.4837,2.442446009293482
fullbackbone,1PIN,0.2,4,0.901,0.901,0.4902,2.4620639444796986
fullbackbone,1PIN,0.2,5,0.8772,0.8772,0.4706,2.4041586291515835
fullbackbone,1PIN,0.2,6,0.9133,0.9133,0.4706,2.4925343397733144
fullbackbone,1PIN,0.2,7,0.8784,0.8784,0.4641,2.407045351193384
fullbackbone,1PIN,0.2,8,0.871,0.871,0.4837,2.3892989582311457
fullbackbone,1PIN,0.3,1,1.0146,1.0146,0.4444,2.7582598727369723
fullbackbone,1PIN,0.3,2,0.9067,0.9067,0.5098,2.476137781293259
fullbackbone,1PIN,0.3,3,0.9557,0.9557,0.4641,2.6004902891504416
fullbackbone,1PIN,0.3,4,0.9018,0.9018,0.4771,2.464034383705883
fullbackbone,1PIN,0.3,5,0.8919,0.8919,0.4967,2.4397607958214276
fullbackbone,1PIN,0.3,6,0.9385,0.9385,0.5163,2.5561443247414233
fullbackbone,1PIN,0.3,7,0.9314,0.9314,0.5033,2.538059975445035
fullbackbone,1PIN,0.3,8,0.9043,0.9043,0.4771,2.4702021761933652
fullbackbone,1R69,0.1,1,0.8311,0.8311,0.5397,2.2958427788451856
fullbackbone,1R69,0.1,2,0.8243,0.8243,0.5079,2.280284007723936
fullbackbone,1R69,0.1,3,0.7949,0.7949,0.5079,2.21421956377623
fullbackbone,1R69,0.1,4,0.7855,0.7855,0.4603,2.1935034183001307
fullbackbone,1R69,0.1,5,0.7723,0.7723,0.5079,2.164739433132527
fullbackbone,1R69,0.1,6,0.7991,0.7991,0.5079,2.2235388427305582
fullbackbone,1R69,0.1,7,0.7797,0.7797,0.5714,2.1808179219749877
fullbackbone,1R69,0.1,8,0.8485,0.8485,0.4603,2.3361400124352523
fullbackbone,1R69,0.2,1,0.8252,0.8252,0.4603,2.282337187123028
fullbackbone,1R69,0.2,2,0.82,0.82,0.4921,2.2704998375324057
fullbackbone,1R69,0.2,3,0.8036,0.8036,0.4921,2.23356731466165
fullbackbone,1R69,0.2,4,0.825,0.825,0.5397,2.2818807653293036
fullbackbone,1R69,0.2,5,0.8042,0.8042,0.4603,2.234907857172984
fullbackbone,1R69,0.2,6,0.8616,0.8616,0.4762,2.3669447772753087
fullbackbone,1R69,0.2,7,0.8539,0.8539,0.4921,2.3487892908163
fullbackbone,1R69,0.2,8,0.8288,0.8288,0.4444,2.2905684083050812
fullbackbone,1R69,0.3,1,0.892,0.892,0.4762,2.4400047841002204
fullbackbone,1R69,0.3,2,0.805,0.805,0.5238,2.236696498819987
fullbackbone,1R69,0.3,3,0.9046,0.9046,0.4603,2.4709433480164376
fullbackbone,1R69,0.3,4,0.8635,0.8635,0.5238,2.371446247394553
fullbackbone,1R69,0.3,5,0.9292,0.9292,0.6032,2.5324823811024624
fullbackbone,1R69,0.3,6,0.8206,0.8206,0.5238,2.271862546206646
fullbackbone,1R69,0.3,7,0.8635,0.8635,0.4762,2.371446247394553
fullbackbone,1R69,0.3,8,0.8834,0.8834,0.4921,2.419110716225765
fullbackbone,1RIS,0.1,1,0.9642,0.9642,0.3608,2.6226886660575084
fullbackbone,1RIS,0.1,2,0.9774,0.9774,0.3093,2.6575376537624886
fullbackbone,1RIS,0.1,3,0.9318,0.9318,0.3711,2.5390754025070863
fullbackbone,1RIS,0.1,4,0.8822,0.8822,0.3608,2.4162095244295148
fullbackbone,1RIS,0.1,5,0.918,0.918,0.3299,2.504276824393157
fullbackbone,1RIS,0.1,6,0.9902,0.9902,0.299,2.69177277307201
fullbackbone,1RIS,0.1,7,0.9852,0.9852,0.3196,2.678347500357742
fullbackbone,1RIS,0.1,8,0.9551,0.9551,0.3608,2.5989304629715995
fullbackbone,1RIS,0.2,1,0.97,0.97,0.3505,2.6379444593541526
fullbackbone,1RIS,0.2,2,0.9864,0.9864,0.3505,2.6815634465399674
fullbackbone,1RIS,0.2,3,0.991,0.991,0.3402,2.693927052887499
fullbackbone,1RIS,0.2,4,1.0516,1.0516,0.3505,2.8622270195971
fullbackbone,1RIS,0.2,5,1.0248,1.0248,0.3505,2.7865380972119307
fullbackbone,1RIS,0.2,6,0.9815,0.9815,0.2887,2.6684559253049023
fullbackbone,1RIS,0.2,7,1.0115,1.0115,0.3505,2.749722506885564
fullbackbone,1RIS,0.2,8,0.9693,0.9693,0.3402,2.636098544378221
fullbackbone,1RIS,0.3,1,0.9988,0.9988,0.3196,2.7150218466451808
fullbackbone,1RIS,0.3,2,1.11,1.11,0.3299,3.034358394435676
fullbackbone,1RIS,0.3,3,1.0082,1.0082,0.299,2.7406633783960066
fullbackbone,1RIS,0.3,4,0.9876,0.9876,0.3711,2.684783254174019
fullbackbone,1RIS,0.3,5,1.0394,1.0394,0.3299,2.827519993300175
fullbackbone,1RIS,0.3,6,1.0716,1.0716,0.3711,2.9200478408537487
fullbackbone,1RIS,0.3,7,0.9878,0.9878,0.3196,2.6853202645240986
fullbackbone,1RIS,0.3,8,0.9915,0.9915,0.3918,2.695274353210955
fullbackbone,1SHG,0.1,1,0.7962,0.7962,0.5088,2.2170999210357074
fullbackbone,1SHG,0.1,2,0.7943,0.7943,0.5263,2.212891430517786
fullbackbone,1SHG,0.1,3,0.7995,0.7995,0.4035,2.224428436174478
fullbackbone,1SHG,0.1,4,0.8163,0.8163,0.4912,2.262114510554703
fullbackbone,1SHG,0.1,5,0.8101,0.8101,0.5439,2.2481327887150537
fullbackbone,1SHG,0.1,6,0.8072,0.8072,0.5263,2.2416226478944927
fullbackbone,1SHG,0.1,7,0.7967,0.7967,0.5088,2.2182087481799106
fullbackbone,1SHG,0.1,8,0.8398,0.8398,0.5263,2.3159037497099866
fullbackbone,1SHG,0.2,1,0.8386,0.8386,0.5088,2.3131263319942543
fullbackbone,1SHG,0.2,2,0.8281,0.8281,0.5088,2.2889655714776063
fullbackbone,1SHG,0.2,3,0.7994,0.7994,0.5439,2.2242060044526317
fullbackbone,1SHG,0.2,4,0.8278,0.8278,0.4211,2.288278984799314
fullbackbone,1SHG,0.2,5,0.7917,0.7917,0.4737,2.207145385893389
fullbackbone,1SHG,0.2,6,0.7957,0.7957,0.4386,2.215991648166496
fullbackbone,1SHG,0.2,7,0.8737,0.8737,0.4912,2.395758782256461
fullbackbone,1SHG,0.2,8,0.8172,0.8172,0.5789,2.264151330045488
fullbackbone,1SHG,0.3,1,0.8484,0.8484,0.4912,2.33590641011432
fullbackbone,1SHG,0.3,2,0.7986,0.7986,0.4912,2.22242735120523
fullbackbone,1SHG,0.3,3,0.8276,0.8276,0.4737,2.2878213747648832
fullbackbone,1SHG,0.3,4,0.9366,0.9366,0.5088,2.5512922614442095
fullbackbone,1SHG,0.3,5,0.9004,0.9004,0.4561,2.4605871491958995
fullbackbone,1SHG,0.3,6,0.8187,0.8187,0.5614,2.2675501054848652
fullbackbone,1SHG,0.3,7,0.8703,0.8703,0.4737,2.387627034202064
fullbackbone,1SHG,0.3,8,0.9196,0.9196,0.4211,2.508286874496791
fullbackbone,1STN,0.1,1,0.8547,0.8547,0.4632,2.3506690740619964
