model,mask_frac,pdb_id,sample,score_nll,seq_recovery,perplexity
fullbackbone,0,1LZ1,2,0.7632,0.5692,2.1451296640638446
fullbackbone,0,1LZ1,3,0.7296,0.6077,2.0742507414153697
fullbackbone,0,1LZ1,4,0.7275,0.5538,2.0698993853813565
fullbackbone,0,1LZ1,5,0.7333,0.5692,2.0819396849323115
fullbackbone,0,1LZ1,6,0.7798,0.5615,2.1810360146716383
fullbackbone,0,1LZ1,7,0.7614,0.5538,2.1412719036944576
fullbackbone,0,1LZ1,8,0.7343,0.5462,2.084022665934163
fullbackbone,0,1MBN,1,1.0128,0.3922,2.753299470667217
fullbackbone,0,1MBN,2,0.9803,0.3987,2.6652556987145175
fullbackbone,0,1MBN,3,0.989,0.3922,2.688544583045722
fullbackbone,0,1MBN,4,0.9658,0.4314,2.626888326755832
fullbackbone,0,1MBN,5,0.9934,0.3399,2.700400242534875
fullbackbone,0,1MBN,6,0.9806,0.3922,2.6660553953726334
fullbackbone,0,1MBN,7,0.9705,0.3922,2.639263761381851
fullbackbone,0,1MBN,8,0.98,0.4314,2.664456241929417
fullbackbone,0,1UBI,1,0.8129,0.5132,2.2544363814349166
fullbackbone,0,1UBI,2,0.7641,0.5789,2.147061149799708
fullbackbone,0,1UBI,3,0.83,0.5526,2.2933187402641826
fullbackbone,0,1UBI,4,0.7858,0.5526,2.194161568043146
fullbackbone,0,1UBI,5,0.7861,0.5658,2.194819915260704
fullbackbone,0,1UBI,6,0.8258,0.5132,2.2837070003381714
fullbackbone,0,1UBI,7,0.7844,0.6316,2.19109189112311
fullbackbone,0,1UBI,8,0.8025,0.5526,2.231111741428404
fullbackbone,0,1UBQ,1,0.8023,0.5526,2.2306655636993784
fullbackbone,0,1UBQ,2,0.7663,0.5132,2.1517898840296645
fullbackbone,0,1UBQ,3,0.8424,0.5526,2.3219329340023727
fullbackbone,0,1UBQ,4,0.7604,0.5658,2.1391317020699256
fullbackbone,0,1UBQ,5,0.7933,0.6053,2.21067964516426
fullbackbone,0,1UBQ,6,0.7961,0.5263,2.216878222128734
fullbackbone,0,1UBQ,7,0.7846,0.5263,2.1915301533260942
fullbackbone,0,1UBQ,8,0.7824,0.5395,2.186714086604651
fullbackbone,0,1VII,1,1.1244,0.2222,3.0783692731368424
fullbackbone,0,1VII,2,1.072,0.2222,2.921216093625068
fullbackbone,0,1VII,3,1.0232,0.2222,2.7820832011236405
fullbackbone,0,1VII,4,1.0556,0.1944,2.8736988560526218
fullbackbone,0,1VII,5,1.1217,0.1667,3.0700688866635955
fullbackbone,0,1VII,6,1.0098,0.2222,2.745051949722273
fullbackbone,0,1VII,7,1.1189,0.2222,3.061484717226473
fullbackbone,0,1VII,8,1.1311,0.25,3.09906359583394
fullbackbone,0,2ACY,1,0.8632,0.4388,2.370734920224745
fullbackbone,0,2ACY,2,0.883,0.4592,2.418143265442331
fullbackbone,0,2ACY,3,0.869,0.3673,2.38452513572846
fullbackbone,0,2ACY,4,0.7972,0.4592,2.2193181298763127
fullbackbone,0,2ACY,5,0.8417,0.4388,2.320308149689426
fullbackbone,0,2ACY,6,0.8764,0.4388,2.4022360713739097
fullbackbone,0,2ACY,7,0.8998,0.4796,2.459111239723501
fullbackbone,0,2ACY,8,0.9039,0.4592,2.469214292912716
fullbackbone,0,2GB1,1,1.035,0.3036,2.8151062356240635
fullbackbone,0,2GB1,2,1.0543,0.3929,2.8699654747633754
fullbackbone,0,2GB1,3,1.1084,0.2857,3.0295073029126964
fullbackbone,0,2GB1,4,0.9783,0.2857,2.659930514276588
fullbackbone,0,2GB1,5,1.0193,0.3393,2.7712542069037336
fullbackbone,0,2GB1,6,0.9174,0.3393,2.5027747089782086
fullbackbone,0,2GB1,7,0.9436,0.2857,2.5692139600391917
fullbackbone,0,2GB1,8,0.8944,0.2857,2.445867828420985
fullbackbone,0,2LZM,1,0.7928,0.5488,2.209574581630583
fullbackbone,0,2LZM,2,0.7948,0.5793,2.2139981528905808
fullbackbone,0,2LZM,3,0.8023,0.6159,2.2306655636993784
fullbackbone,0,2LZM,4,0.773,0.6585,2.1662552812206535
fullbackbone,0,2LZM,5,0.8165,0.5671,2.2625669787021203
fullbackbone,0,2LZM,6,0.7762,0.5976,2.173198401187712
fullbackbone,0,2LZM,7,0.8014,0.622,2.2286588678406374
fullbackbone,0,2LZM,8,0.7547,0.5793,2.1269733356312366
fullbackbone,0,2PCY,1,0.7571,0.5051,2.1320842022234463
fullbackbone,0,2PCY,2,0.7099,0.5556,2.0337878696905034
fullbackbone,0,2PCY,3,0.6842,0.5152,1.9821854527064697
fullbackbone,0,2PCY,4,0.7333,0.5455,2.0819396849323115
fullbackbone,0,2PCY,5,0.7451,0.5253,2.1066520896567833
fullbackbone,0,2PCY,6,0.7062,0.4949,2.0262767586969104
fullbackbone,0,2PCY,7,0.7671,0.5455,2.153512004693307
fullbackbone,0,2PCY,8,0.6967,0.5152,2.0071182763678883
fullbackbone,0,2PTL,1,1.1724,0.2179,3.2297347076276948
fullbackbone,0,2PTL,2,1.2682,0.2564,3.55444879286484
fullbackbone,0,2PTL,3,1.1082,0.2308,3.028901462038221
fullbackbone,0,2PTL,4,1.2687,0.2179,3.5562264616414314
fullbackbone,0,2PTL,5,1.1818,0.1923,3.2602373517057566
fullbackbone,0,2PTL,6,1.1913,0.1923,3.2913571917403477
fullbackbone,0,2PTL,7,1.1345,0.2308,3.1096183449655594
fullbackbone,0,2PTL,8,1.1853,0.2051,3.271668174708018
fullbackbone,0,3CHY,1,0.7963,0.5,2.21732164211368
fullbackbone,0,3CHY,2,0.7782,0.5,2.177549147285937
fullbackbone,0,3CHY,3,0.742,0.4688,2.100131580190361
fullbackbone,0,3CHY,4,0.8027,0.4688,2.2315580084018993
fullbackbone,0,3CHY,5,0.7964,0.4922,2.217543385364869
fullbackbone,0,3CHY,6,0.8061,0.4766,2.239158218666381
fullbackbone,0,3CHY,7,0.789,0.4844,2.201194131160753
fullbackbone,0,3CHY,8,0.8203,0.4766,2.2711810896663764
fullbackbone,0,3PGK,1,1.1871,0.2,3.2775624807064285
fullbackbone,0,3PGK,2,1.1511,0.2169,3.161668833297922
fullbackbone,0,3PGK,3,1.1335,0.2217,3.106510280911626
fullbackbone,0,3PGK,4,1.1904,0.2024,3.2883963028676333
fullbackbone,0,3PGK,5,1.1744,0.2,3.2362006408208326
fullbackbone,0,3PGK,6,1.1983,0.2096,3.314477518819381
fullbackbone,0,3PGK,7,1.2042,0.2048,3.334090738283186
fullbackbone,0,3PGK,8,1.2042,0.2169,3.334090738283186
fullbackbone,0,4HHB,1,0.7782,0.5244,2.177549147285937
fullbackbone,0,4HHB,2,0.7585,0.5087,2.135071210524492
fullbackbone,0,4HHB,3,0.748,0.5157,2.1127702477582266
fullbackbone,0,4HHB,4,0.7615,0.5244,2.1414860415915435
fullbackbone,0,4HHB,5,0.77,0.4983,2.159766253784915
fullbackbone,0,4HHB,6,0.7653,0.4774,2.1496391696820347
fullbackbone,0,4HHB,7,0.7531,0.5017,2.123572899368663
fullbackbone,0,4HHB,8,0.769,0.5035,2.157607567054386
fullbackbone,10,1AKI,1,0.7975,0.5345,2.219984025194579
fullbackbone,10,1AKI,2,0.7686,0.5517,2.156744696613157
fullbackbone,10,1AKI,3,0.7862,0.5259,2.1950394082266955
fullbackbone,10,1AKI,4,0.7624,0.5172,2.1434142465910715
fullbackbone,10,1AKI,5,0.7808,0.5259,2.1832181415679144
fullbackbone,10,1AKI,6,0.7864,0.5431,2.195478460012056
fullbackbone,10,1AKI,7,0.7779,0.5259,2.1768959805216648
fullbackbone,10,1AKI,8,0.7862,0.5259,2.1950394082266955
fullbackbone,10,1BPI,1,0.8518,0.4423,2.3438620087625184
fullbackbone,10,1BPI,2,0.9997,0.4808,2.7174664662209587
fullbackbone,10,1BPI,3,0.8823,0.4423,2.416451157463408
fullbackbone,10,1BPI,4,0.938,0.4615,2.554866572043847
fullbackbone,10,1BPI,5,0.882,0.4231,2.415726330845598
fullbackbone,10,1BPI,6,0.9893,0.4615,2.6893512674172415
fullbackbone,10,1BPI,7,0.8942,0.4038,2.4453787037693964
fullbackbone,10,1BPI,8,0.9045,0.4615,2.470696266035941
fullbackbone,10,1CRN,1,1.608,0.3415,4.992815604333296
fullbackbone,10,1CRN,2,1.6862,0.3415,5.39892575758649
fullbackbone,10,1CRN,3,1.689,0.3171,5.414063933263407
fullbackbone,10,1CRN,4,1.5981,0.3415,4.943630597352837
fullbackbone,10,1CRN,5,1.8482,0.3415,6.348382144189812
fullbackbone,10,1CRN,6,1.7999,0.3171,6.049042529913734
fullbackbone,10,1CRN,7,1.7922,0.3171,6.002643766919255
fullbackbone,10,1CRN,8,1.7035,0.3171,5.493139774676186
fullbackbone,10,1CSP,1,0.9029,0.5833,2.4667463128155167
fullbackbone,10,1CSP,2,0.879,0.5667,2.40849001175893
fullbackbone,10,1CSP,3,0.8879,0.5167,2.430021244726397
fullbackbone,10,1CSP,4,0.9088,0.5667,2.4813431343417087
fullbackbone,10,1CSP,5,0.9098,0.5333,2.483825718561278
fullbackbone,10,1CSP,6,0.9035,0.5833,2.4682268047063585
fullbackbone,10,1CSP,7,0.7908,0.55,2.2051598486718587
fullbackbone,10,1CSP,8,0.8689,0.55,2.3842866951371158
fullbackbone,10,1ENH,1,1.0091,0.3878,2.7431310857382973
fullbackbone,10,1ENH,2,1.0488,0.4082,2.8542239934075364
fullbackbone,10,1ENH,3,1.1275,0.3469,3.087927024744393
fullbackbone,10,1ENH,4,1.0882,0.4082,2.9689251946667556
fullbackbone,10,1ENH,5,0.9729,0.3878,2.645605601573314
fullbackbone,10,1ENH,6,0.9703,0.3878,2.638735961411331
fullbackbone,10,1ENH,7,1.1307,0.4286,3.097824218287641
fullbackbone,10,1ENH,8,1.1453,0.3673,3.1433842306702213
fullbackbone,10,1FKB,1,0.7477,0.5833,2.112136511749054
fullbackbone,10,1FKB,2,0.7907,0.6146,2.204939343712423
fullbackbone,10,1FKB,3,0.7558,0.6458,2.1293142935912623
fullbackbone,10,1FKB,4,0.724,0.625,2.062667400888034
fullbackbone,10,1FKB,5,0.7286,0.5833,2.072177527453703
fullbackbone,10,1FKB,6,0.715,0.6042,2.0441866822585566
fullbackbone,10,1FKB,7,0.7135,0.625,2.041122700795763
fullbackbone,10,1FKB,8,0.7457,0.6146,2.1079164601838043
fullbackbone,10,1HEL,1,0.79,0.5431,2.203396426255937
fullbackbone,10,1HEL,2,0.7805,0.5517,2.182563274360436
fullbackbone,10,1HEL,3,0.756,0.5776,2.1297401990391056
fullbackbone,10,1HEL,4,0.7735,0.5431,2.16733867968831
fullbackbone,10,1HEL,5,0.8224,0.5603,2.2759555814163877
fullbackbone,10,1HEL,6,0.7821,0.5345,2.1860581707709636
fullbackbone,10,1HEL,7,0.7898,0.5603,2.2029557910356763
fullbackbone,10,1HEL,8,0.7908,0.569,2.2051598486718587
fullbackbone,10,1IGD,1,1.0116,0.5455,2.7499974928853232
fullbackbone,10,1IGD,2,0.917,0.4909,2.5017737992899005
fullbackbone,10,1IGD,3,0.9612,0.4909,2.614832390365081
fullbackbone,10,1IGD,4,0.9403,0.5818,2.560749527965455
fullbackbone,10,1IGD,5,0.9628,0.6,2.6190194709608976
fullbackbone,10,1IGD,6,0.958,0.5455,2.6064783003886967
fullbackbone,10,1IGD,7,0.9345,0.5636,2.54594016935876
fullbackbone,10,1IGD,8,0.9794,0.4727,2.6628580476904773
fullbackbone,10,1LZ1,1,0.8102,0.5897,2.248357613234964
fullbackbone,10,1LZ1,2,0.7959,0.5983,2.216434890818917
fullbackbone,10,1LZ1,3,0.7813,0.5641,2.1843100235864554
fullbackbone,10,1LZ1,4,0.8162,0.5726,2.261888310413843
fullbackbone,10,1LZ1,5,0.7961,0.5983,2.216878222128734
fullbackbone,10,1LZ1,6,0.8359,0.6154,2.3068893146602583
fullbackbone,10,1LZ1,7,0.7698,0.5897,2.1593343437266035
fullbackbone,10,1LZ1,8,0.8298,0.6325,2.292860122379447
fullbackbone,10,1MBN,1,0.9801,0.3551,2.6647227008763354
fullbackbone,10,1MBN,2,1.0176,0.3188,2.766547076946095
fullbackbone,10,1MBN,3,1.0414,0.3623,2.8331806920986744
fullbackbone,10,1MBN,4,1.0471,0.3913,2.849375934636273
fullbackbone,10,1MBN,5,1.1048,0.3261,3.0186206842932712
fullbackbone,10,1MBN,6,1.0538,0.3623,2.868530850711895
fullbackbone,10,1MBN,7,1.0585,0.3188,2.882044678328444
fullbackbone,10,1MBN,8,1.025,0.3696,2.7870954605658507
fullbackbone,10,1UBI,1,0.9291,0.4706,2.532229145526342
fullbackbone,10,1UBI,2,0.8926,0.5147,2.441469226259395
fullbackbone,10,1UBI,3,0.8653,0.5,2.3757186946888673
fullbackbone,10,1UBI,4,0.8774,0.5441,2.404639508963792
fullbackbone,10,1UBI,5,0.845,0.5147,2.3279778145702346
fullbackbone,10,1UBI,6,0.9284,0.5294,2.5304572053758805
fullbackbone,10,1UBI,7,0.9318,0.5441,2.5390754025070863
fullbackbone,10,1UBI,8,0.9252,0.4706,2.5223726844509478
fullbackbone,10,1UBQ,1,0.9216,0.5735,2.5133084681655893
fullbackbone,10,1UBQ,2,0.8396,0.5,2.315440615275032
fullbackbone,10,1UBQ,3,0.8499,0.5441,2.3394128989386425
fullbackbone,10,1UBQ,4,0.8564,0.5,2.3546686101303385
fullbackbone,10,1UBQ,5,0.8989,0.4853,2.4568990352490876
fullbackbone,10,1UBQ,6,0.8646,0.4853,2.374056273517877
fullbackbone,10,1UBQ,7,0.885,0.5588,2.4229843914855502
fullbackbone,10,1UBQ,8,0.8713,0.5294,2.3900158554478206
fullbackbone,10,1VII,1,2.1176,0.2188,8.311166732209776
fullbackbone,10,1VII,2,2.1452,0.1875,8.543749816393767
fullbackbone,10,1VII,3,2.1018,0.1562,8.180882255546619
fullbackbone,10,1VII,4,2.0977,0.1562,8.14740930473805
fullbackbone,10,1VII,5,2.1381,0.1562,8.4833040291645
fullbackbone,10,1VII,6,1.9973,0.2188,7.369132556349573
fullbackbone,10,1VII,7,2.0745,0.125,7.960565181207655
fullbackbone,10,1VII,8,2.1175,0.1875,8.310335657091006
fullbackbone,10,2ACY,1,0.9324,0.4773,2.5405993048735835
fullbackbone,10,2ACY,2,0.9761,0.4432,2.654085099459129
fullbackbone,10,2ACY,3,0.9524,0.4545,2.5919228153030742
fullbackbone,10,2ACY,4,0.9248,0.4432,2.5213639371400793
fullbackbone,10,2ACY,5,0.9952,0.4205,2.705265340245801
fullbackbone,10,2ACY,6,0.9279,0.4659,2.5291922930276316
fullbackbone,10,2ACY,7,0.9167,0.4886,2.5010233797186774
fullbackbone,10,2ACY,8,0.9298,0.4318,2.5340023264691354
fullbackbone,10,2GB1,1,1.0539,0.32,2.8688177181400984
fullbackbone,10,2GB1,2,1.0637,0.34,2.897070343527453
fullbackbone,10,2GB1,3,1.1968,0.42,3.3095095294646666
fullbackbone,10,2GB1,4,1.1793,0.34,3.2520969380833185
fullbackbone,10,2GB1,5,1.0742,0.36,2.927649843561027
fullbackbone,10,2GB1,6,1.1142,0.26,3.0471295002409766
fullbackbone,10,2GB1,7,1.1298,0.38,3.0950374307336888
fullbackbone,10,2GB1,8,1.0132,0.28,2.7544010107488135
fullbackbone,10,2LZM,1,0.8277,0.6014,2.2880501683418477
fullbackbone,10,2LZM,2,0.8273,0.5811,2.287135131294121
fullbackbone,10,2LZM,3,0.8545,0.5743,2.350198987257431
fullbackbone,10,2LZM,4,0.8243,0.6081,2.280284007723936
fullbackbone,10,2LZM,5,0.7916,0.5811,2.206924682390159
fullbackbone,10,2LZM,6,0.7839,0.5676,2.1899966190183933
fullbackbone,10,2LZM,7,0.797,0.5541,2.218874310633741
fullbackbone,10,2LZM,8,0.8174,0.6014,2.2646042055975424
fullbackbone,10,2PCY,1,0.7813,0.4607,2.1843100235864554
fullbackbone,10,2PCY,2,0.774,0.4831,2.168422619990648
fullbackbone,10,2PCY,3,0.7605,0.4382,2.1393456259361474
fullbackbone,10,2PCY,4,0.7825,0.5056,2.186932768947246
fullbackbone,10,2PCY,5,0.768,0.4719,2.155451037931604
fullbackbone,10,2PCY,6,0.7434,0.4831,2.1030738234923723
fullbackbone,10,2PCY,7,0.7355,0.4944,2.0865249942299826
fullbackbone,10,2PCY,8,0.7611,0.4607,2.14062961847095
fullbackbone,10,2PTL,1,1.311,0.2143,3.709881739627115
fullbackbone,10,2PTL,2,1.1044,0.2143,3.0174134774770134
fullbackbone,10,2PTL,3,1.2222,0.2286,3.3946477496440535
fullbackbone,10,2PTL,4,1.2204,0.2,3.3885428797259354
fullbackbone,10,2PTL,5,1.0507,0.2286,2.8596521741337226
fullbackbone,10,2PTL,6,1.2265,0.1571,3.4092761635174096
fullbackbone,10,2PTL,7,1.161,0.1857,3.1931248048907275
fullbackbone,10,2PTL,8,1.1739,0.2286,3.234582944958089
fullbackbone,10,3CHY,1,0.8395,0.4609,2.3152090827903216
fullbackbone,10,3CHY,2,0.8104,0.4174,2.248807329727761
fullbackbone,10,3CHY,3,0.7709,0.4696,2.1617109183811247
fullbackbone,10,3CHY,4,0.7606,0.4348,2.139559571195826
fullbackbone,10,3CHY,5,0.7833,0.4174,2.1886830151675456
fullbackbone,10,3CHY,6,0.8354,0.4087,2.3057361583160385
fullbackbone,10,3CHY,7,0.8277,0.4783,2.2880501683418477
fullbackbone,10,3CHY,8,0.8024,0.4957,2.230888641409448
fullbackbone,10,3PGK,1,1.1962,0.2118,3.307524419339578
fullbackbone,10,3PGK,2,1.1441,0.1984,3.13961443192504
fullbackbone,10,3PGK,3,1.198,0.1957,3.3134833247003095
fullbackbone,10,3PGK,4,1.1358,0.2172,3.1136634775805248
fullbackbone,10,3PGK,5,1.158,0.2145,3.1835597851793858
fullbackbone,10,3PGK,6,1.211,0.2011,3.356839814502953
fullbackbone,10,3PGK,7,1.1555,0.2064,3.1756108260554248
fullbackbone,10,3PGK,8,1.1734,0.2118,3.2329660577410997
fullbackbone,10,4HHB,1,0.8082,0.4845,2.2438653917274087
fullbackbone,10,4HHB,2,0.8048,0.4981,2.2362492042511706
fullbackbone,10,4HHB,3,0.7927,0.4787,2.209353635219925
fullbackbone,10,4HHB,4,0.8251,0.4729,2.2821089648156208
fullbackbone,10,4HHB,5,0.7954,0.4864,2.215326950381699
fullbackbone,10,4HHB,6,0.8041,0.4806,2.2346843775614333
fullbackbone,10,4HHB,7,0.8316,0.5039,2.2969909872627916
fullbackbone,10,4HHB,8,0.8224,0.4884,2.2759555814163877
fullbackbone,20,1AKI,1,0.7825,0.5437,2.186932768947246
fullbackbone,20,1AKI,2,0.8005,0.5146,2.226653977195701
fullbackbone,20,1AKI,3,0.8164,0.5243,2.2623407333167083
fullbackbone,20,1AKI,4,0.7978,0.5437,2.220650120311409
fullbackbone,20,1AKI,5,0.8247,0.4951,2.2811963037740717
fullbackbone,20,1AKI,6,0.8274,0.5049,2.2873638562433074
fullbackbone,20,1AKI,7,0.779,0.5534,2.179291883605348
fullbackbone,20,1AKI,8,0.8463,0.4757,2.3310061537231346
fullbackbone,20,1BPI,1,1.3835,0.3261,3.9888381578923036
fullbackbone,20,1BPI,2,1.4081,0.3043,4.088180477322808
fullbackbone,20,1BPI,3,1.3502,0.2174,3.858197092956768
fullbackbone,20,1BPI,4,1.3786,0.3913,3.969340658802632
fullbackbone,20,1BPI,5,1.4301,0.3043,4.179117082736631
fullbackbone,20,1BPI,6,1.37,0.3696,3.9353506954704733
fullbackbone,20,1BPI,7,1.3721,0.3478,3.943623615456649
fullbackbone,20,1BPI,8,1.3425,0.3696,3.8286030585923507
fullbackbone,20,1CRN,1,1.8234,0.2703,6.192878482419173
fullbackbone,20,1CRN,2,1.9433,0.1351,6.981752780953258
fullbackbone,20,1CRN,3,1.7045,0.1622,5.4986356619365
fullbackbone,20,1CRN,4,1.7345,0.1351,5.666094048400964
fullbackbone,20,1CRN,5,1.885,0.1081,6.586354442015068
fullbackbone,20,1CRN,6,1.7589,0.1892,5.806047228504331
fullbackbone,20,1CRN,7,1.7216,0.1081,5.593470861829227
fullbackbone,20,1CRN,8,1.8568,0.1622,6.403213668238711
fullbackbone,20,1CSP,1,1.0179,0.3889,2.7673771655762476
fullbackbone,20,1CSP,2,1.1182,0.4444,3.059342427813186
fullbackbone,20,1CSP,3,1.0777,0.3704,2.9379145708075987
fullbackbone,20,1CSP,4,1.052,0.4259,2.8633721394136336
fullbackbone,20,1CSP,5,1.0893,0.4444,2.972192809239419
fullbackbone,20,1CSP,6,1.0409,0.5,2.831764455841194
fullbackbone,20,1CSP,7,1.0277,0.4815,2.7946307864215743
fullbackbone,20,1CSP,8,1.0967,0.463,2.9942686157727927
fullbackbone,20,1ENH,1,1.5575,0.2093,4.746939050956379
fullbackbone,20,1ENH,2,1.7808,0.2093,5.934602201786188
fullbackbone,20,1ENH,3,1.7023,0.2093,5.486551960425661
fullbackbone,20,1ENH,4,1.771,0.2558,5.876727151149384
fullbackbone,20,1ENH,5,1.9691,0.2791,7.164225782760038
fullbackbone,20,1ENH,6,1.8423,0.2558,6.3110369661463945
fullbackbone,20,1ENH,7,1.8911,0.1628,6.626653992779078
fullbackbone,20,1ENH,8,1.9966,0.2558,7.363975968576408
fullbackbone,20,1FKB,1,0.8643,0.5698,2.3733441634576713
fullbackbone,20,1FKB,2,0.7863,0.6047,2.195258923143081
fullbackbone,20,1FKB,3,0.8332,0.5698,2.300669114559583
fullbackbone,20,1FKB,4,0.8275,0.5581,2.2875926040661323
fullbackbone,20,1FKB,5,0.8191,0.6047,2.2684573069552574
fullbackbone,20,1FKB,6,0.8543,0.6163,2.349728994460826
fullbackbone,20,1FKB,7,0.8546,0.6163,2.350434018907544
fullbackbone,20,1FKB,8,0.8408,0.5814,2.318220811797652
fullbackbone,20,1HEL,1,0.9471,0.5243,2.5782219637100847
fullbackbone,20,1HEL,2,0.9427,0.4854,2.566902707694721
fullbackbone,20,1HEL,3,0.9087,0.466,2.4810950124345763
fullbackbone,20,1HEL,4,0.9142,0.5146,2.494778630458429
fullbackbone,20,1HEL,5,0.9701,0.466,2.63820826699025
fullbackbone,20,1HEL,6,0.9302,0.4854,2.5350161301469414
fullbackbone,20,1HEL,7,0.9399,0.466,2.559725432986919
fullbackbone,20,1HEL,8,0.9519,0.5049,2.590627177831783
fullbackbone,20,1IGD,1,0.9483,0.449,2.5813176871291015
fullbackbone,20,1IGD,2,0.9397,0.4898,2.5592135390914175
fullbackbone,20,1IGD,3,0.946,0.449,2.575387478802513
fullbackbone,20,1IGD,4,1.0162,0.5102,2.7626766209897142
fullbackbone,20,1IGD,5,0.9145,0.5306,2.4955271763238325
fullbackbone,20,1IGD,6,0.8666,0.4898,2.3788091373444518
fullbackbone,20,1IGD,7,0.9644,0.4898,2.6232132562479906
fullbackbone,20,1IGD,8,0.9813,0.4286,2.667922287485402
fullbackbone,20,1LZ1,1,0.7515,0.5769,2.1201778994538714
fullbackbone,20,1LZ1,2,0.8366,0.5288,2.308504702500303
fullbackbone,20,1LZ1,3,0.808,0.5385,2.243416663523379
fullbackbone,20,1LZ1,4,0.8136,0.5192,2.256015039367736
fullbackbone,20,1LZ1,5,0.775,0.5673,2.1705921271834425
