model,noise,pdb_id,sample,score_nll,seq_recovery,perplexity
fullbackbone,0.0,2CI2,1,0.8221,0.6308,2.2752728971497227
fullbackbone,0.0,2CI2,2,0.8115,0.6154,2.2512823788178937
fullbackbone,0.0,2CI2,3,0.8064,0.6,2.2398300669041777
fullbackbone,0.0,2CI2,4,0.8321,0.5846,2.2981397699281563
fullbackbone,0.0,2CI2,5,0.8338,0.5538,2.3020499302315955
fullbackbone,0.0,2CI2,6,0.8166,0.5231,2.2627932467132026
fullbackbone,0.0,2CI2,7,0.82,0.5538,2.2704998375324057
fullbackbone,0.0,2CI2,8,0.8438,0.6,2.3251859166665203
fullbackbone,0.0,2CRO,1,0.8598,0.4769,2.362688108827117
fullbackbone,0.0,2CRO,2,0.847,0.5385,2.3326384292605273
fullbackbone,0.0,2CRO,3,0.8808,0.4923,2.412829197876021
fullbackbone,0.0,2CRO,4,0.8735,0.5231,2.3952796784119914
fullbackbone,0.0,2CRO,5,0.8435,0.5077,2.324488465514424
fullbackbone,0.0,2CRO,6,0.8971,0.4769,2.4524805947750443
fullbackbone,0.0,2CRO,7,0.8789,0.5077,2.4082491747998023
fullbackbone,0.0,2CRO,8,0.8689,0.4769,2.3842866951371158
fullbackbone,0.0,2GB1,1,1.0292,0.3214,2.7988258781334103
fullbackbone,0.0,2GB1,2,0.9729,0.3393,2.645605601573314
fullbackbone,0.0,2GB1,3,0.9669,0.2679,2.6297794937655925
fullbackbone,0.0,2GB1,4,1.0135,0.3214,2.7552274550124793
fullbackbone,0.0,2GB1,5,1.0701,0.2857,2.915671052504378
fullbackbone,0.0,2GB1,6,0.9833,0.3571,2.6732634714639567
fullbackbone,0.0,2GB1,7,1.1164,0.3214,3.0538405646055122
fullbackbone,0.0,2GB1,8,0.9738,0.3036,2.647987718406512
fullbackbone,0.0,2LZM,1,0.7842,0.6159,2.1906537165638023
fullbackbone,0.0,2LZM,2,0.7641,0.5915,2.147061149799708
fullbackbone,0.0,2LZM,3,0.7934,0.6402,2.210900724182543
fullbackbone,0.0,2LZM,4,0.7656,0.5732,2.150284158176376
fullbackbone,0.0,2LZM,5,0.79,0.6037,2.203396426255937
fullbackbone,0.0,2LZM,6,0.7679,0.622,2.1552355036047066
fullbackbone,0.0,2LZM,7,0.7999,0.5976,2.2253183855269523
fullbackbone,0.0,2LZM,8,0.7966,0.5915,2.2179869383957667
fullbackbone,0.0,2PCY,1,0.7452,0.5354,2.106862765399361
fullbackbone,0.0,2PCY,2,0.7384,0.596,2.0925846990383787
fullbackbone,0.0,2PCY,3,0.7296,0.5657,2.0742507414153697
fullbackbone,0.0,2PCY,4,0.7125,0.5152,2.0390825983162153
fullbackbone,0.0,2PCY,5,0.7252,0.5253,2.065144087483855
fullbackbone,0.0,2PCY,6,0.7373,0.5758,2.0902841214191024
fullbackbone,0.0,2PCY,7,0.7156,0.5455,2.0454135622951166
fullbackbone,0.0,2PCY,8,0.7664,0.4848,2.1520050737773753
fullbackbone,0.0,2PTL,1,1.2018,0.2308,3.3260985150154943
fullbackbone,0.0,2PTL,2,1.2085,0.1667,3.348458196354806
fullbackbone,0.0,2PTL,3,1.2049,0.1923,3.3364254188428477
fullbackbone,0.0,2PTL,4,1.2382,0.1538,3.4493989552625703
fullbackbone,0.0,2PTL,5,1.131,0.2051,3.098753704969158
fullbackbone,0.0,2PTL,6,1.2044,0.2051,3.334757623117103
fullbackbone,0.0,2PTL,7,1.2018,0.1795,3.3260985150154943
fullbackbone,0.0,2PTL,8,1.216,0.1923,3.3736660440948167
fullbackbone,0.0,3CHY,1,0.7981,0.4219,2.221316415286752
fullbackbone,0.0,3CHY,2,0.7918,0.5078,2.2073661114680734
fullbackbone,0.0,3CHY,3,0.8138,0.4844,2.2564662874989185
fullbackbone,0.0,3CHY,4,0.7766,0.5,2.1740678544272423
fullbackbone,0.0,3CHY,5,0.8008,0.4844,2.2273220735983092
fullbackbone,0.0,3CHY,6,0.789,0.4922,2.201194131160753
fullbackbone,0.0,3CHY,7,0.7917,0.4297,2.207145385893389
fullbackbone,0.0,3CHY,8,0.8089,0.4453,2.2454366473769354
fullbackbone,0.0,3PGK,1,1.1593,0.1904,3.1877011041742302
fullbackbone,0.0,3PGK,2,1.1752,0.212,3.238790637193905
fullbackbone,0.0,3PGK,3,1.1368,0.1904,3.116778698408918
fullbackbone,0.0,3PGK,4,1.1822,0.212,3.261541707500206
fullbackbone,0.0,3PGK,5,1.1174,0.212,3.0568959325995
fullbackbone,0.0,3PGK,6,1.1748,0.212,3.237495380007735
fullbackbone,0.0,3PGK,7,1.1445,0.2193,3.1408705289004577
fullbackbone,0.0,3PGK,8,1.1907,0.2048,3.2893829697511268
fullbackbone,0.0,4HHB,1,0.7812,0.4843,2.1840916035052826
fullbackbone,0.0,4HHB,2,0.7548,0.507,2.127186043600021
fullbackbone,0.0,4HHB,3,0.7604,0.5174,2.1391317020699256
fullbackbone,0.0,4HHB,4,0.7583,0.493,2.1346442389809646
fullbackbone,0.0,4HHB,5,0.7608,0.4913,2.1399875259041092
fullbackbone,0.0,4HHB,6,0.7744,0.4913,2.1692901625355856
fullbackbone,0.0,4HHB,7,0.7746,0.5122,2.1697240639567883
fullbackbone,0.0,4HHB,8,0.7809,0.507,2.1834364742985257
fullbackbone,0.1,1AKI,1,0.7707,0.5736,2.161278619428785
fullbackbone,0.1,1AKI,2,0.7928,0.5581,2.209574581630583
fullbackbone,0.1,1AKI,3,0.8352,0.5194,2.3052750571960243
fullbackbone,0.1,1AKI,4,0.7681,0.5271,2.1556665938130113
fullbackbone,0.1,1AKI,5,0.737,0.5581,2.0896571302360565
fullbackbone,0.1,1AKI,6,0.813,0.5736,2.254661836345618
fullbackbone,0.1,1AKI,7,0.7591,0.5504,2.1363526376404987
fullbackbone,0.1,1AKI,8,0.7813,0.5659,2.1843100235864554
fullbackbone,0.1,1BPI,1,0.9465,0.4655,2.57667549451901
fullbackbone,0.1,1BPI,2,1.0058,0.5,2.7340936730876844
fullbackbone,0.1,1BPI,3,0.983,0.4655,2.672461612707345
fullbackbone,0.1,1BPI,4,0.9945,0.4655,2.703372317143014
fullbackbone,0.1,1BPI,5,0.9091,0.4655,2.482087648953619
fullbackbone,0.1,1BPI,6,0.9731,0.4655,2.6461347756092684
fullbackbone,0.1,1BPI,7,0.9267,0.5172,2.5261590825662608
fullbackbone,0.1,1BPI,8,0.8826,0.5,2.417176201561824
fullbackbone,0.1,1CRN,1,0.9017,0.5435,2.463787992587273
fullbackbone,0.1,1CRN,2,0.8253,0.5,2.282565432253806
fullbackbone,0.1,1CRN,3,0.9081,0.5435,2.4796068019349122
fullbackbone,0.1,1CRN,4,0.8541,0.5435,2.3492590956533808
fullbackbone,0.1,1CRN,5,0.8821,0.5652,2.415967915557717
fullbackbone,0.1,1CRN,6,0.8679,0.587,2.381903600188044
fullbackbone,0.1,1CRN,7,0.8054,0.5217,2.2375913563790952
fullbackbone,0.1,1CRN,8,0.8866,0.5217,2.4268642695867007
fullbackbone,0.1,1CSP,1,0.8818,0.5224,2.4152432338907346
fullbackbone,0.1,1CSP,2,1.0237,0.5821,2.7834745905425695
fullbackbone,0.1,1CSP,3,0.9485,0.5373,2.581834002296323
fullbackbone,0.1,1CSP,4,0.9309,0.4776,2.5367912626619398
fullbackbone,0.1,1CSP,5,0.9047,0.5224,2.471190454706368
fullbackbone,0.1,1CSP,6,0.996,0.4776,2.7074304184338023
fullbackbone,0.1,1CSP,7,0.9874,0.4925,2.6842463512152697
fullbackbone,0.1,1CSP,8,0.9577,0.5522,2.6056964741783752
fullbackbone,0.1,1ENH,1,1.04,0.4259,2.82921701435156
fullbackbone,0.1,1ENH,2,1.097,0.4444,2.9951670311130876
fullbackbone,0.1,1ENH,3,1.0196,0.3704,2.772085707884716
fullbackbone,0.1,1ENH,4,1.0553,0.3519,2.8728368756993232
fullbackbone,0.1,1ENH,5,1.0563,0.3704,2.8757111494723864
fullbackbone,0.1,1ENH,6,1.0452,0.4074,2.843967260228261
fullbackbone,0.1,1ENH,7,1.0331,0.4074,2.8097626118265255
fullbackbone,0.1,1ENH,8,1.059,0.3889,2.8834860609832433
fullbackbone,0.1,1FKB,1,0.8668,0.6168,2.3792849467512753
fullbackbone,0.1,1FKB,2,0.8011,0.5981,2.227990370459906
fullbackbone,0.1,1FKB,3,0.8243,0.5888,2.280284007723936
fullbackbone,0.1,1FKB,4,0.8483,0.5794,2.335672831152451
fullbackbone,0.1,1FKB,5,0.7579,0.6168,2.133790552034144
fullbackbone,0.1,1FKB,6,0.7987,0.6168,2.2226496050528577
fullbackbone,0.1,1FKB,7,0.827,0.5794,2.2864490936655226
fullbackbone,0.1,1FKB,8,0.8522,0.6449,2.3447997410999877
fullbackbone,0.1,1HEL,1,0.759,0.5426,2.1361390130581417
fullbackbone,0.1,1HEL,2,0.8398,0.5814,2.3159037497099866
fullbackbone,0.1,1HEL,3,0.845,0.5814,2.3279778145702346
fullbackbone,0.1,1HEL,4,0.8156,0.5426,2.260531584486075
fullbackbone,0.1,1HEL,5,0.8331,0.5426,2.300439059151089
fullbackbone,0.1,1HEL,6,0.8923,0.5581,2.4407368953466464
fullbackbone,0.1,1HEL,7,0.798,0.5891,2.221094294751435
fullbackbone,0.1,1HEL,8,0.7658,0.5969,2.1507142580165617
fullbackbone,0.1,1IGD,1,0.8885,0.541,2.4314796949645503
fullbackbone,0.1,1IGD,2,0.9127,0.5902,2.4910392677359137
fullbackbone,0.1,1IGD,3,0.9127,0.541,2.4910392677359137
fullbackbone,0.1,1IGD,4,0.8842,0.5902,2.4210467791206467
fullbackbone,0.1,1IGD,5,0.8614,0.541,2.3664714356555936
fullbackbone,0.1,1IGD,6,0.9526,0.541,2.5924412517080473
fullbackbone,0.1,1IGD,7,0.8748,0.541,2.3983955668826122
fullbackbone,0.1,1IGD,8,0.8182,0.5902,2.2664166138286514
fullbackbone,0.1,1LZ1,1,0.8525,0.5846,2.3455032865488583
fullbackbone,0.1,1LZ1,2,0.8424,0.5385,2.3219329340023727
fullbackbone,0.1,1LZ1,3,0.8316,0.5385,2.2969909872627916
fullbackbone,0.1,1LZ1,4,0.8676,0.5846,2.381189136282932
fullbackbone,0.1,1LZ1,5,0.8418,0.5,2.3205401921063222
fullbackbone,0.1,1LZ1,6,0.8716,0.5462,2.3907329677659246
fullbackbone,0.1,1LZ1,7,0.8653,0.5154,2.3757186946888673
fullbackbone,0.1,1LZ1,8,0.8438,0.5385,2.3251859166665203
fullbackbone,0.1,1MBN,1,1.0508,0.3856,2.859938153649874
fullbackbone,0.1,1MBN,2,0.9926,0.3791,2.6982407862385367
fullbackbone,0.1,1MBN,3,1.0935,0.3333,2.984702270518007
fullbackbone,0.1,1MBN,4,1.0285,0.3595,2.7968673855710855
fullbackbone,0.1,1MBN,5,1.0447,0.3333,2.842545632034813
fullbackbone,0.1,1MBN,6,1.0659,0.3856,2.9034509143376077
fullbackbone,0.1,1MBN,7,1.0417,0.4118,2.8340307738121853
fullbackbone,0.1,1MBN,8,1.039,0.366,2.8263892114742966
fullbackbone,0.1,1PIN,1,0.8895,0.5359,2.4339123908047102
fullbackbone,0.1,1PIN,2,0.8576,0.4902,2.357495908502242
fullbackbone,0.1,1PIN,3,0.956,0.451,2.6012705532709526
fullbackbone,0.1,1PIN,4,0.9213,0.4575,2.5125545887127116
fullbackbone,0.1,1PIN,5,0.9027,0.4967,2.4662530128845908
fullbackbone,0.1,1PIN,6,0.9643,0.4771,2.622950948037995
fullbackbone,0.1,1PIN,7,0.9096,0.4706,2.4833290030907684
fullbackbone,0.1,1PIN,8,0.9001,0.4837,2.459849083766491
fullbackbone,0.1,1R69,1,0.7894,0.4921,2.2020747849322295
fullbackbone,0.1,1R69,2,0.8637,0.4603,2.371920584076119
fullbackbone,0.1,1R69,3,0.8864,0.4603,2.426378945266833
fullbackbone,0.1,1R69,4,0.9228,0.4762,2.516326248633535
fullbackbone,0.1,1R69,5,0.7947,0.5397,2.2137767641449138
fullbackbone,0.1,1R69,6,0.8139,0.5079,2.2566919454103758
fullbackbone,0.1,1R69,7,0.8597,0.4603,2.362451851829281
fullbackbone,0.1,1R69,8,0.8556,0.5397,2.3527856285352975
fullbackbone,0.1,1RIS,1,0.998,0.4124,2.7128506977432196
fullbackbone,0.1,1RIS,2,1.0344,0.3814,2.813417678500483
fullbackbone,0.1,1RIS,3,0.9885,0.3814,2.687200646766268
fullbackbone,0.1,1RIS,4,1.0749,0.299,2.9296999158931243
fullbackbone,0.1,1RIS,5,0.983,0.3608,2.672461612707345
fullbackbone,0.1,1RIS,6,1.009,0.3608,2.742856786344921
fullbackbone,0.1,1RIS,7,0.9771,0.3505,2.656740512043596
fullbackbone,0.1,1RIS,8,1.0447,0.3402,2.842545632034813
fullbackbone,0.1,1SHG,1,0.8632,0.5263,2.370734920224745
fullbackbone,0.1,1SHG,2,0.9095,0.5439,2.4830806826066905
fullbackbone,0.1,1SHG,3,0.9004,0.5614,2.4605871491958995
fullbackbone,0.1,1SHG,4,0.808,0.4912,2.243416663523379
fullbackbone,0.1,1SHG,5,0.8864,0.4912,2.426378945266833
fullbackbone,0.1,1SHG,6,0.8385,0.4386,2.312895030926301
fullbackbone,0.1,1SHG,7,0.9058,0.4561,2.4739102598251135
fullbackbone,0.1,1SHG,8,0.8221,0.4737,2.2752728971497227
fullbackbone,0.1,1STN,1,0.8648,0.4926,2.374531132256872
fullbackbone,0.1,1STN,2,0.861,0.4632,2.365525036373806
fullbackbone,0.1,1STN,3,0.8519,0.4485,2.344096406683095
fullbackbone,0.1,1STN,4,0.845,0.4485,2.3279778145702346
fullbackbone,0.1,1STN,5,0.9602,0.4559,2.6122188649552145
fullbackbone,0.1,1STN,6,0.8324,0.5221,2.2988293152857673
fullbackbone,0.1,1STN,7,0.8735,0.4853,2.3952796784119914
fullbackbone,0.1,1STN,8,0.9464,0.4338,2.576417839852506
fullbackbone,0.1,1TIM,1,1.042,0.2834,2.8348811105884675
fullbackbone,0.1,1TIM,2,1.0522,0.2834,2.863944871112777
fullbackbone,0.1,1TIM,3,1.0401,0.2955,2.8294999501995513
fullbackbone,0.1,1TIM,4,1.0366,0.2976,2.819614010859592
fullbackbone,0.1,1TIM,5,1.0106,0.2955,2.7472488699329656
fullbackbone,0.1,1TIM,6,1.0573,0.3138,2.878588298956838
fullbackbone,0.1,1TIM,7,1.0795,0.2854,2.943207579313595
fullbackbone,0.1,1TIM,8,1.0374,0.3036,2.8218706045854187
fullbackbone,0.1,1TUP,1,0.9733,0.3624,2.6466640554906147
fullbackbone,0.1,1TUP,2,0.9402,0.3744,2.5604934658159793
fullbackbone,0.1,1TUP,3,0.938,0.3573,2.554866572043847
fullbackbone,0.1,1TUP,4,0.9409,0.359,2.56228643870935
fullbackbone,0.1,1TUP,5,0.9547,0.3453,2.597891098673129
fullbackbone,0.1,1TUP,6,0.9866,0.3761,2.68209981286412
fullbackbone,0.1,1TUP,7,0.9639,0.3641,2.62190197746688
fullbackbone,0.1,1TUP,8,0.9377,0.3744,2.5541002270297337
fullbackbone,0.1,1UBI,1,0.838,0.5658,2.3117388724745376
fullbackbone,0.1,1UBI,2,0.8695,0.5658,2.38571769641165
fullbackbone,0.1,1UBI,3,0.8133,0.5658,2.255338336366451
fullbackbone,0.1,1UBI,4,0.8542,0.5526,2.3494940333096332
fullbackbone,0.1,1UBI,5,0.8274,0.5658,2.2873638562433074
fullbackbone,0.1,1UBI,6,0.8345,0.4737,2.3036619293166143
fullbackbone,0.1,1UBI,7,0.8491,0.5263,2.3375421170320294
